feature,importance,std
car_name,772.4772858834805,24.0317227628018
year,1502.6111171642838,44.39324511891015
A/C,77.22261704562621,15.087049140363353
seats_amount,8.173984557905692,3.4066380000404406
horsepower,119.27545714865073,11.94521721257581
color,9.395119964967899,2.8616786164991495
"car_mileage, km",37.07226245765935,4.5393393854537605
"engine_capacity, cc",80.64042432678607,11.628240209811219
type_of_drive,32.26048333646678,4.528570214698148
doors,39.947930596419624,6.928624966813405
fuel,9.004714876367075,2.3057012261944516
car_type,66.6061567984677,4.134821078923567
gearbox,189.14409653092056,20.74109255670012
