Feature,Importance,Std,Importance_pct
year,1548.8514356928558,41.77183364314638,52.08213688814026
car_name,740.7564351876645,31.20421827254736,24.908895178159206
gearbox,189.4243317653599,16.81774655027084,6.369638655843533
horsepower,127.01168768827401,11.265212316258792,4.270932609889253
car_type,80.71223503997656,6.603435772431674,2.714053508959923
"engine_capacity, cc",74.50730748730054,9.488624570000958,2.5054047782087374
A/C,67.39375904516007,12.091080311219825,2.266202492446421
doors,45.909863365582375,9.184501037086738,1.5437786563773697
type_of_drive,36.68979344309741,5.972964150771462,1.233741855716578
"car_mileage, km",35.53323371896566,5.1900060475476035,1.194851036052784
fuel,12.339511244251087,3.3220744569872163,0.4149320580048679
seats_amount,9.701212986125158,1.7133484302576736,0.32621585975310396
color,5.032264697861251,4.212467823028132,0.16921642244798182
