model,rmse,mae,r2
Linear Regression,4009.6278261910384,2062.194817844294,0.5388723705776355
KNN,3361.056670061385,1524.547450509898,0.6759853190758216
Decision Tree,3418.266289032658,1453.5338608220027,0.6648611290977678
Random Forest,2563.3395682413316,1132.0332083814642,0.8115373467439173
SVR,5989.178701779024,3140.6309541123237,-0.028839337715690805
