,price,year,seats_amount,horsepower,"car_mileage, km","engine_capacity, cc"
price,1.0,0.6722817799577995,-0.002613092905762123,0.46407401610265825,-0.15265884065209998,0.19624111065762642
year,0.6722817799577995,1.0,-0.048623290591977154,0.23703594562437744,-0.15619991273927453,-0.0837975683869966
seats_amount,-0.002613092905762123,-0.048623290591977154,1.0,0.1403284238676203,0.133611533308423,0.18810600458763735
horsepower,0.46407401610265825,0.23703594562437744,0.1403284238676203,1.0,0.19414397615285248,0.7436899960188944
"car_mileage, km",-0.15265884065209998,-0.15619991273927453,0.133611533308423,0.19414397615285248,1.0,0.32872413526000765
"engine_capacity, cc",0.19624111065762642,-0.0837975683869966,0.18810600458763735,0.7436899960188944,0.32872413526000765,1.0
